"id","marka_id","model_id","name","status"
569,7,5523,"IMPREZA ANESIS",1
570,7,9997,"IMPREZA G4",1
571,7,26553,"IMPREZA SPORT",1
572,7,707,"IMPREZA SPORT WAGON",1
573,7,8917,"IMPREZA XV",1
574,7,711,"LEGACY",1
575,7,712,"LEGACY B4",1
576,7,713,"LEGACY GRAND WAGON",1
577,7,11199,"LEVORG",1
578,7,7189,"LUCRA",1
579,7,8856,"LUCRA CUSTOM",1
580,7,1406,"OTHER",1
581,7,1202,"OTHERS",1
582,7,720,"OUTBACK",1
583,7,721,"PLEO",1
584,7,10413,"PLEO PLUS",1
585,7,724,"R1",1
586,7,725,"R2",1
587,7,726,"REX",1
588,7,728,"SAMBAR",1
589,7,733,"STELLA",1
590,7,10623,"SUBARU XV",1
591,7,738,"TRAVIQ",1
592,7,9105,"TREZIA",1
593,7,739,"VIVIO",1
594,7,10238,"WRX",1
595,7,24572,"WRX S4",1
596,7,10979,"WRX STI",1
597,8,742,"117COUPE",1
598,8,1320,"BELLETT",1
599,8,745,"BIGHORN",1
600,8,748,"COMO",1
601,8,750,"COMO WAGON",1
602,8,755,"ELF TRUCK",1
603,8,758,"FARGO TRUCK",1
604,8,759,"FARGO VAN",1
605,8,764,"FORWARD",1
606,8,4932,"GALA",1
607,8,765,"GEMINI",1
608,8,766,"GIGA",1
609,8,768,"ISUZU TRUCK",1
610,8,770,"JUSTON",1
611,8,771,"MU",1
612,8,1202,"OTHERS",1
613,8,776,"PIAZZA",1
614,8,9649,"TRUCK",1
615,8,2272,"WIZARD",1
616,9,782,"ALTIS",1
617,9,785,"ATRAI",1
618,9,2273,"ATRAI 7",1
619,9,786,"ATRAI WAGON",1
620,9,788,"BE GO",1
621,9,2043,"BEGO",1
622,9,789,"BOON",1
623,9,5440,"BOON LUMINAS",1
624,9,25757,"CAST",1
625,9,790,"CHARADE",1
626,9,794,"COO",1
627,9,795,"COPEN",1
628,9,796,"DAIHATSU",1
629,9,797,"DELTA TRUCK",1
630,9,798,"DELTA VAN",1
631,9,799,"DELTA WAGON",1
632,9,801,"ESSE",1
633,9,803,"HIJET",1
634,9,28898,"HIJET CADDIE",1
635,9,804,"HIJET TRUCK",1
636,9,805,"HIJET VAN",1
637,9,808,"MAX",1
638,9,810,"MIDGET II",1
639,9,811,"MIRA",1
640,9,9650,"MIRA E S",1
641,9,816,"MIRA TR-XX",1
642,9,818,"MOVE",1
643,9,30165,"MOVE CANBUS",1
644,9,4928,"MOVE CONTE",1
645,9,819,"MOVE LATTE",1
646,9,820,"NAKED",1
647,9,821,"OPTI",1
648,9,1202,"OTHERS",1
649,9,824,"PYZAR",1
650,9,828,"SONICA",1
651,9,829,"STORIA",1
652,9,830,"TAFT",1
653,9,831,"TANTO",1
654,9,6748,"TANTO EXE",1
655,9,832,"TERIOS",1
656,9,833,"TERIOS KID",1
657,9,22579,"WAKE",1
658,9,836,"YRV",1
659,10,3135,"GALUE",1
660,10,3003,"GALUE II",1
661,10,6368,"HIMIKO",1
662,10,11210,"LIKE",1
663,10,1202,"OTHERS",1
664,10,3163,"RYOGA",1
665,10,3006,"VIEWT",1
666,12,839,"ALFA ROMEO 147",1
667,12,841,"ALFA ROMEO 156",1
668,12,2144,"ALFA ROMEO 159",1
669,12,2078,"ALFA ROMEO BRERA",1
670,12,10267,"ALFA ROMEO GIULIETTA",1
671,12,2145,"ALFA ROMEO GT",1
672,12,9054,"ALFA ROMEO MITO",1
673,12,846,"ALFA ROMEO SPIDER",1
674,12,847,"ALFA ROMEO SPORTWAGON",1
675,13,9206,"A1",1
676,13,11235,"A1 SPORTBACK",1
677,13,852,"A3",1
678,13,11236,"A3 SEDAN",1
679,13,853,"A4",1
680,13,26308,"A4 AVANTE",1
681,13,2858,"A5",1
682,13,26309,"A5 CABRIO",1
683,13,8858,"A5 SPORTBACK",1
684,13,854,"A6",1
685,13,3168,"A6 ALLROAD QUATTRO",1
686,13,26310,"A6 AVANTE",1
687,13,11237,"A6 HYBRID",1
688,13,9533,"A7",1
689,13,9315,"A7 SPORTBACK",1
690,13,855,"A8",1
691,13,856,"ALLROAD",1
692,13,856,"AUDI ALLROAD",1
693,13,2033,"AUDI TT",1
694,13,1202,"OTHERS",1
695,13,10535,"Q3",1
696,13,5698,"Q5",1
697,13,2124,"Q7",1
698,13,2159,"R8",1
699,13,11242,"RS Q3",1
700,13,27965,"RS3 SPORTBACK",1
701,13,858,"RS6",1
702,13,1295,"S3",1
703,13,11245,"S3 SEDAN",1
704,13,859,"S4",1
705,13,26311,"S4 AVANTE",1
706,13,5086,"S5",1
707,13,10186,"S5 SPORTBACK",1
708,13,860,"S6",1
709,13,26312,"S6 AVANTE",1
710,13,11246,"S7 SPORTBACK",1
711,13,1251,"S8",1
712,13,27899,"S8 PLUS",1
713,13,11247,"SQ5",1
714,13,2033,"TT",1
715,13,8880,"TT RS COUPE",1
716,13,11248,"TT RS PLUS COUPE",1
717,13,26313,"TTCOUPE",1
718,13,5588,"TTS COUPE",1
719,14,5827,"1 SERIES",1
720,14,11320,"2 SERIES",1
721,14,1506,"3 SERIES",1
722,14,26314,"4SERIES",1
723,14,1530,"5 SERIES",1
724,14,1550,"6 SERIES",1
725,14,1554,"7 SERIES",1
726,14,862,"BMW",1
727,14,2032,"BMW 1 SERIES",1
728,14,11549,"BMW 2 SERIES",1
729,14,863,"BMW 3 SERIES",1
730,14,11482,"BMW 4 SERIES",1
731,14,864,"BMW 5 SERIES",1
732,14,865,"BMW 6 SERIES",1
733,14,866,"BMW 7 SERIES",1
734,14,868,"BMW ALPINA",1
735,14,23839,"BMW I3",1
736,14,871,"BMW M3",1
737,14,873,"BMW M6",1
738,14,874,"BMW MINI",1
739,14,7795,"BMW X1",1
740,14,875,"BMW X3",1
741,14,876,"BMW X5",1
742,14,4892,"BMW X6",1
743,14,877,"BMW Z3",1
744,14,878,"BMW Z4",1
745,14,11322,"i3",1
746,14,22202,"I8",1
747,14,1570,"M COUPE",1
748,14,26862,"M2",1
749,14,1572,"M3",1
750,14,11808,"M4",1
751,14,1574,"M6",1
752,14,9668,"X1",1
753,14,1576,"X3",1
754,14,1577,"X5",1
755,14,5836,"X6",1
756,14,6458,"Z3 ROADSTER",1
757,14,1580,"Z4",1
758,15,1582,300,1
759,15,5518,"300C",1
760,15,9717,"300C TOURING",1
761,15,3014,"CHRYSLER 300",1
762,15,2076,"CHRYSLER 300C",1
763,15,882,"CHRYSLER PT CRUISER",1
764,15,3018,"CHRYSLER VOYAGER",1
765,15,10435,"CHRYSLER YPSILON",1
766,15,1586,"CROSSFIRE",1
767,15,2139,"DODGE DAKOTA",1
768,15,9675,"GRAND VOYAGER",1
769,15,1594,"PT CRUISER",1
770,15,11393,"YPSILON",1
771,18,6608,500,1
772,18,11412,"500S",1
773,18,23241,"500X",1
774,19,1402,"BRONCO",1
775,16,4447,"C3",1
776,16,4448,"C4",1
777,16,6404,"C4 PICASSO",1
778,16,4449,"C5",1
779,16,4450,"C6",1
780,20,22869,"CADILLAC XTS",1
781,20,2133,"CHEVROLET AVALANCHE",1
782,20,971,"CHEVROLET TRAIL BLAZER",1
783,16,894,"CITROEN",1
784,16,895,"CITROEN C3",1
785,16,2147,"CITROEN C4",1
786,16,896,"CITROEN C5",1
787,16,2828,"CITROEN C6",1
788,16,8941,"CITROEN DS3",1
789,16,10233,"CITROEN DS4",1
790,16,2880,"CITROEN XSARA PICASSO",1
791,16,6406,"CX",1
792,17,5345,"DAIMLER",1
793,16,7752,"DS3",1
794,16,10005,"DS4",1
795,16,11221,"DS5",1
796,19,1604,"E350",1
797,19,12971,"ECOSPORT",1
798,19,914,"ESCAPE",1
799,19,915,"EXPEDITION",1
800,19,1610,"EXPLORER",1
801,19,1611,"F150",1
802,19,917,"FESTIVA MINI WAGON",1
803,18,905,"FIAT",1
804,18,906,"FIAT 500",1
805,18,6865,"FIAT 500C",1
806,18,27308,"FIAT 500X",1
807,18,2163,"FIAT GRANDE PUNTO",1
808,18,910,"FIAT PANDA",1
809,18,911,"FIAT PUNTO",1
810,19,9260,"FIESTA",1
811,19,6049,"FLEX",1
812,19,1620,"FOCUS",1
813,19,918,"FORD",1
814,19,22952,"FORD ECOSPORT",1
815,19,920,"FORD EXPLORER",1
816,19,2142,"FORD FIESTA",1
817,19,922,"FORD FOCUS",1
818,19,925,"FORD MONDEO",1
819,19,926,"FORD MUSTANG",1
820,20,1387,"GMC SIERRA",1
821,18,6614,"GRANDE PUNTO",1
822,19,933,"IXION",1
823,19,934,"J 80 TRUCK",1
824,19,9535,"KUGA",1
825,18,6615,"MULTIPLA",1
